instrucciones_pasiva,instrucciones_activa,n,order
datasets/instruccion1_pasiva.png,datasets/instruccion1_activa.png,1.0,0.0
datasets/instruccion2.png,datasets/instruccion2.png,1.0,1.0
datasets/instruccion3.png,datasets/instruccion3.png,1.0,2.0

extraInfo
participante,APFRRF
sesion,01
orden,AP
pasivas,FR
activas,RF
date,2022-07-05_19h38.05.393
expName,DigitSpanTask_visual
psychopyVersion,2022.1.3
frameRate,58.904526987012645
﻿instrucciones_pasiva,instrucciones_activa,n,order
datasets/instruccion1_pasiva.png,datasets/instruccion1_activa.png,1.0,0.0
datasets/instruccion2.png,datasets/instruccion2.png,1.0,1.0
datasets/instruccion3.png,datasets/instruccion3.png,1.0,2.0

extraInfo
participante,APFRRF
sesion,01
orden,AP
pasivas,FR
activas,RF
date,2022-07-05_19h38.05.393
expName,DigitSpanTask_visual
psychopyVersion,2022.1.3
frameRate,58.904526987012645
﻿instrucciones_pasiva,instrucciones_activa,n,order
datasets/instruccion1_pasiva.png,datasets/instruccion1_activa.png,1.0,0.0
datasets/instruccion2.png,datasets/instruccion2.png,1.0,1.0
datasets/instruccion3.png,datasets/instruccion3.png,1.0,2.0

extraInfo
participante,APFRRF
sesion,01
orden,AP
pasivas,FR
activas,RF
date,2022-07-05_19h38.05.393
expName,DigitSpanTask_visual
psychopyVersion,2022.1.3
frameRate,58.904526987012645
﻿instrucciones_pasiva,instrucciones_activa,n,order
datasets/instruccion1_pasiva.png,datasets/instruccion1_activa.png,1.0,0.0
datasets/instruccion2.png,datasets/instruccion2.png,1.0,1.0
datasets/instruccion3.png,datasets/instruccion3.png,1.0,2.0

extraInfo
participante,APFRRF
sesion,01
orden,AP
pasivas,FR
activas,RF
date,2022-07-05_19h38.05.393
expName,DigitSpanTask_visual
psychopyVersion,2022.1.3
frameRate,58.904526987012645
