n,digitpresentation_training_2.started_mean,digitpresentation_training_2.started_raw,,digitpresentation_training_2.started_std,digitpresentation_training_2.stopped_raw,,order,
2.0,179.1824951171875,178.682373046875, 179.6826171875,0.7072794146780482,, 179.68260996296885,0.0, 1.0

extraInfo
participante,PAFRFR
sesion,01
orden,PA
pasivas,FR
activas,FR
date,2022-07-05_20h46.42.088
expName,DigitSpanTask_visual
psychopyVersion,2022.1.3
frameRate,59.061636195312204
﻿n,digitpresentation_training_2.started_mean,digitpresentation_training_2.started_raw,,digitpresentation_training_2.started_std,digitpresentation_training_2.stopped_raw,,order,
2.0,185.03021240234375,184.53016662597656, 185.5302734375,0.7071823084213884,, 185.53027768882748,0.0, 1.0

extraInfo
participante,PAFRFR
sesion,01
orden,PA
pasivas,FR
activas,FR
date,2022-07-05_20h46.42.088
expName,DigitSpanTask_visual
psychopyVersion,2022.1.3
frameRate,59.061636195312204
﻿n,digitpresentation_training_2.started_mean,digitpresentation_training_2.started_raw,,digitpresentation_training_2.started_std,digitpresentation_training_2.stopped_raw,,order,
2.0,235.7464599609375,235.24632263183594, 236.24661254882812,0.7073117835399988,, 236.2466183872384,0.0, 1.0

extraInfo
participante,PAFRFR
sesion,01
orden,PA
pasivas,FR
activas,FR
date,2022-07-05_20h46.42.088
expName,DigitSpanTask_visual
psychopyVersion,2022.1.3
frameRate,59.061636195312204
﻿n,digitpresentation_training_2.started_mean,digitpresentation_training_2.started_raw,,digitpresentation_training_2.started_std,digitpresentation_training_2.stopped_raw,,order,
2.0,249.24526977539062,248.74488830566406, 249.74566650390625,0.7076570505229598,, ,0.0, 1.0

extraInfo
participante,PAFRFR
sesion,01
orden,PA
pasivas,FR
activas,FR
date,2022-07-05_20h46.42.088
expName,DigitSpanTask_visual
psychopyVersion,2022.1.3
frameRate,59.061636195312204
