instrucciones_pasiva,instrucciones_activa,digitSpan_trainAF,digits_trainAF,fixation_time_trainAF,answer_trainAF,instrucloop.thisRepN,instrucloop.thisTrialN,instrucloop.thisN,instrucloop.thisIndex,trial_trainingAF.thisRepN,trial_trainingAF.thisTrialN,trial_trainingAF.thisN,trial_trainingAF.thisIndex,train_digitloopAF.thisRepN,train_digitloopAF.thisTrialN,train_digitloopAF.thisN,train_digitloopAF.thisIndex,trial_AF.thisRepN,trial_AF.thisTrialN,trial_AF.thisN,trial_AF.thisIndex,digitSpan_AF,digits_AF,fixation_time_AF,answer_AF,fixation_press_training.started,fixation_press_training.stopped,firstfixtrain.started,firstfixtrain.stopped,digitpresentation_training.started,digitpresentation_training.stopped,recall_train.started,recall_train.stopped,answ_train.text,answ_train.started,answ_train.stopped,next_train.numClicks,next_train.timesOn,next_train.timesOff,correct,end_training.started,end_training.stopped,participant,session,date,expName,psychopyVersion,frameRate,
instruccion1_pasiva.png,instruccion1_activa.png,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2022-06-09_17h48.17.504,DigitSpanTask_activeback,2022.1.3,58.952416456555376,
instruccion2.png,instruccion2.png,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2022-06-09_17h48.17.504,DigitSpanTask_activeback,2022.1.3,58.952416456555376,
instruccion3.png,instruccion3.png,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2022-06-09_17h48.17.504,DigitSpanTask_activeback,2022.1.3,58.952416456555376,
,,2,91,0.55,19,,,,,0,0,0,0,0,0,0,0,,,,,,,,,30.86558526410954,None,32.16966692105052,None,32.72858785581775,None,,,,,,,,,,,,1,001,2022-06-09_17h48.17.504,DigitSpanTask_activeback,2022.1.3,58.952416456555376,
,,2,91,0.55,19,,,,,0,0,0,0,1,0,1,0,,,,,,,,,,,,,33.72899428496021,33.72899428496021,,,,,,,,,,,,1,001,2022-06-09_17h48.17.504,DigitSpanTask_activeback,2022.1.3,58.952416456555376,
,,2,91,0.55,19,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,34.728962673805654,None,,34.728962673805654,None,1,[1.0671749357134104],[1.067181093734689],0,,,1,001,2022-06-09_17h48.17.504,DigitSpanTask_activeback,2022.1.3,58.952416456555376,
,,2,47,0.55,74,,,,,0,1,1,1,0,0,0,0,,,,,,,,,36.27160427431227,None,36.44117307764827,None,37.01733974477975,None,,,,,,,,,,,,1,001,2022-06-09_17h48.17.504,DigitSpanTask_activeback,2022.1.3,58.952416456555376,
,,2,47,0.55,74,,,,,0,1,1,1,1,0,1,0,,,,,,,,,,,,,38.01733810265432,None,,,,,,,,,,,,1,001,2022-06-09_17h48.17.504,DigitSpanTask_activeback,2022.1.3,58.952416456555376,
,,2,47,0.55,74,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,39.01889402832603,None,,39.01889402832603,None,2,"[1.0671749357134104, 5.082370869437]","[1.067181093734689, 5.08237497479422]",0,,,1,001,2022-06-09_17h48.17.504,DigitSpanTask_activeback,2022.1.3,58.952416456555376,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.1031525353028,None,,,,,,,
